City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Valparaiso,CL,-33.0393,-71.6273,59.0,90,100,6.91,fog
179,Kampot,KH,10.6167,104.1833,78.85,89,100,2.37,overcast clouds
180,Kapit,MY,2.0167,112.9333,73.89,99,100,1.79,light rain
181,Narsaq,GL,60.9167,-46.05,37.62,63,56,2.84,broken clouds
182,Inhambupe,BR,-11.7844,-38.3531,81.57,51,23,15.52,few clouds
183,Shu,KZ,43.5983,73.7614,49.57,23,20,3.49,few clouds
184,Rybnoye,RU,54.7256,39.5119,56.64,95,100,10.89,overcast clouds
185,Kaitangata,NZ,-46.2817,169.8464,43.02,92,27,14.74,scattered clouds
186,Sitka,US,57.0531,-135.33,49.89,81,0,0.0,clear sky
187,Egvekinot,RU,66.3167,-179.1667,23.83,81,100,6.35,overcast clouds
188,San Estanislao,CO,10.3983,-75.1511,87.69,60,74,6.4,broken clouds
189,Barcelos,PT,41.5388,-8.6151,74.91,65,67,4.59,broken clouds
190,Oksfjord,NO,70.2396,22.3479,32.18,84,29,2.01,scattered clouds
191,Monte Patria,CL,-30.6919,-70.9467,79.65,32,0,8.21,clear sky
192,Seoul,KR,37.5683,126.9778,71.04,97,100,9.22,moderate rain
193,Agua Verde,MX,22.9,-106.05,77.09,74,100,12.26,overcast clouds
194,Xichang,CN,27.8964,102.2634,63.18,94,2,1.34,clear sky
195,Lebu,CL,-37.6167,-73.65,56.82,72,100,6.35,overcast clouds
196,Merauke,ID,-8.4667,140.3333,76.91,93,92,8.77,overcast clouds
197,Axim,GH,4.8699,-2.2405,75.88,88,20,5.1,few clouds
198,Asekeyevo,RU,53.5742,52.7972,57.04,46,100,15.99,overcast clouds
199,Caluquembe,AO,-13.7833,14.6833,69.67,43,89,4.92,overcast clouds
200,Huallanca,PE,-9.8993,-76.9417,57.6,50,72,10.47,broken clouds
201,Mehamn,NO,71.0357,27.8492,40.91,93,75,2.3,broken clouds
202,Warah,PK,27.4481,67.7978,82.11,42,0,5.75,clear sky
