City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
69,Yar-Sale,RU,36.99,overcast clouds,66.8333,70.8333,Yalemd
70,Yemelyanovo,RU,33.08,light shower snow,56.1681,92.6767,Zaimka Emelyanovskaya Gorka
72,Punta Arenas,CL,51.91,clear sky,-53.15,-70.9167,Hotel Hain
77,New Norfolk,AU,47.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
80,Severo-Yeniseyskiy,RU,25.66,overcast clouds,60.3725,93.0408,Aktolik
82,Norman Wells,CA,32.04,broken clouds,65.282,-126.8329,Heritage Hotel
83,Denizli,TR,68.5,scattered clouds,37.8402,29.0698,Anemon Denizli Hotel
84,Oborniki,PL,51.17,clear sky,52.6474,16.8141,Accommodations sleep on the Warta River
85,Iqaluit,CA,33.53,broken clouds,63.7506,-68.5145,Frobisher Inn
86,Bredasdorp,ZA,54.75,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
90,Carnarvon,AU,66.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
91,Novyy Urengoy,RU,33.53,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
92,Khatanga,RU,21.85,overcast clouds,71.9667,102.5,"""Khatanga"""
93,Whittlesea,ZA,69.71,clear sky,-32.1759,26.8244,Eddie's Nest B&B
94,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
96,Esperance,AU,53.37,broken clouds,-33.8667,121.9,Hospitality Esperance
97,Upernavik,GL,22.39,few clouds,72.7868,-56.1549,Café de Upernavik
99,Tuktoyaktuk,CA,26.6,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
100,Port Alfred,ZA,65.17,clear sky,-33.5906,26.891,The Halyards Hotel
103,Cherskiy,RU,26.74,overcast clouds,68.75,161.3,Gostinitsa
105,Mosquera,CO,64.49,broken clouds,4.7059,-74.2302,Hotel SJ
106,Kyzyl-Suu,KG,47.08,scattered clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
108,Palmer,US,56.62,broken clouds,42.1584,-72.3287,Wedgewood Motel
109,Mar Del Plata,AR,55.42,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
112,Meleuz,RU,50.05,overcast clouds,52.9667,55.9167,"Hotel ""Agidel"""
113,Xining,CN,43.88,overcast clouds,36.6167,101.7667,Super Leisure Hotel
115,Sagarejo,GE,61.23,broken clouds,41.734,45.3315,ლოზა
116,Shintomi,JP,68.7,few clouds,32.0785,131.4723,ホテルスイート
118,Biloela,AU,60.1,broken clouds,-24.4167,150.5,Silo Motor Inn Biloela
119,Nemuro,JP,56.35,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
120,Mahon,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
123,Kautokeino,NO,33.75,few clouds,69.0125,23.0412,Thon Hotel Kautokeino
125,Flinders,AU,48.25,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
126,Locri,IT,65.32,clear sky,38.2414,16.2623,Grand Hotel President
128,Port Hardy,CA,53.78,mist,50.6996,-127.4199,Airport Inn-Port Hardy
131,Mareeba,AU,66.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
133,Vila,PT,63.48,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
134,Hoopstad,ZA,65.77,clear sky,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
137,Petropavlovsk-Kamchatskiy,RU,32.59,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
138,Thompson,CA,69.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
139,Sola,VU,68.67,clear sky,-13.8833,167.55,Leumerus Bungalows
140,Ludvika,SE,49.77,light rain,60.1496,15.1878,Ludvika Stadshotell
141,Paamiut,GL,37.26,few clouds,61.994,-49.6678,Pistut
142,Flin Flon,CA,64.24,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
143,Shaki,AZ,65.41,scattered clouds,41.0833,47.1667,Hotel Sheki Azpetrol
147,Khash,IR,65.97,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
148,Tres Arroyos,AR,59.92,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
150,Tazovskiy,RU,34.09,overcast clouds,67.4667,78.7,TazHostel
153,Morrope,PE,69.91,few clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
154,Hofn,IS,46.58,overcast clouds,64.2539,-15.2082,Hótel Höfn
155,Mao,ES,68.56,clear sky,39.8885,4.2658,ARTIEM Capri
156,Molo,KE,55.0,overcast clouds,-0.2479,35.7374,EEL HOTEL
158,Jamestown,US,62.53,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
162,Codrington,AU,45.79,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
164,Leningradskiy,RU,25.56,overcast clouds,69.3833,178.4167,Gostinitsa
167,Aklavik,CA,28.4,fog,68.2191,-135.0107,Aklavik Inn
